아이디,카테고리,이름,가격,추천,hot/cold,카페인 조절,시럽 가능,샷 가능,우유 가능,휘핑 가능,자바칩 가능,드리즐 가능,판매율,,***,hot/cold,시럽 가능
1,COFFEE,나이트로 바닐라 크림,6100,x,2 (cold),x,x,x,x,x,x,x,0,,카테고리,3 (hot & cold),int 형식이라
2,COFFEE,나이트로 콜드 브루,6000,x,2,x,x,x,x,x,x,x,0,,넣을 값,0 (food),1 (true)
3,COFFEE,돌체 콜드 브루,6000,x,2,o,o,o,x,o,x,o,0,,,1 (hot),0 (false)
4,COFFEE,바닐라 크림 콜드 브루,5800,x,2,o,o,o,x,o,x,o,0,,,2 (cold),
5,COFFEE,콜드 브루,4900,x,2,o,o,o,x,o,x,o,0,,,,
6,LATTE,콜드 브루 오트 라떼,5800,x,2,o,o,o,o,o,x,o,0,,,,
7,COFFEE,아이스 커피,4500,x,2,o,o,o,x,o,x,o,0,,,,
8,COFFEE,에스프레소 콘 파나,4200,x,1 (hot),o,o,o,x,o,x,o,0,,,,
9,COFFEE,에스프레소 마키아또,4000,x,1,o,o,o,o,o,x,o,0,,,,
10,ADE,블랙 티 레모네이드 피지오,5400,x,2,o,o,o,x,o,x,o,0,,,,
11,ADE,쿨 라임 피지오,5900,x,2,o,o,o,x,o,x,o,0,,,,
12,ADE,패션 탱고 티 레모네이드 피지오,5400,x,2,o,o,o,x,o,x,o,0,,,,
13,TEA,라임 패션 티,5900,x,3(hot/cold),o,o,o,x,o,x,o,0,,,,
14,TEA,민트 블렌드 티,4500,x,3,o,o,o,x,o,x,o,0,,,,
15,TEA,유자 민트 티,5900,x,3,o,o,o,x,o,x,o,0,,,,
16,TEA,패션 프루트 티,5900,x,3,o,o,o,x,o,x,o,0,,,,
17,TEA,자몽 허니 블랙 티,5700,x,3,o,o,o,x,o,x,o,0,,,,
18,TEA,제주 유기 녹차,5300,x,3,o,o,o,x,o,x,o,0,,,,
19,TEA,잉글리쉬 브렉퍼스트 티,4500,x,3,o,o,o,x,o,x,o,0,,,,
20,TEA,얼 그레이 티,4500,x,3,o,o,o,x,o,x,o,0,,,,
21,TEA,유스베리 티,4500,x,3,o,o,o,x,o,x,o,0,,,,
22,TEA,히비스커스 블렌드 티,4500,x,3,o,o,o,x,o,x,o,0,,,,
23,TEA,캐모마일 블렌드 티,4500,x,3,o,o,o,x,o,x,o,0,,,,
24,SMOOTHIE,민트 초콜릿 칩 블렌디드,6300,x,2,o,o,o,o,o,o,o,0,,,,
25,SMOOTHIE,딸기 딜라이트 요거트 블렌디드,6300,x,2,o,o,o,x,o,o,o,0,,,,
26,SMOOTHIE,피치 레몬 블렌디드,6300,x,2,o,o,o,x,o,o,o,0,,,,
27,SMOOTHIE,망고 바나나 블렌디드,6300,x,2,o,o,o,o,o,o,o,0,,,,
28,SMOOTHIE,망고 패션 프루트 블렌디드,5400,x,2,o,o,o,x,o,o,o,0,,,,
29,SHAKE,더블 에스프레소 칩 프라푸치노,6300,x,2,o,o,o,x,o,o,o,0,,,,
30,SHAKE,말차 프라푸치노,6300,x,2,o,o,o,o,o,o,o,0,,,,
31,SHAKE,자바 칩 프라푸치노,6300,x,2,o,o,o,o,o,o,o,0,,,,
32,SHAKE,초콜릿 크림 칩 프라푸치노,6000,x,2,o,o,o,o,o,o,o,0,,,,
33,SHAKE,화이트 초콜릿 모카 프라푸치노,6000,x,2,o,o,o,o,o,o,o,0,,,,
34,SHAKE,모카 프라푸치노,5900,x,2,o,o,o,o,o,o,o,0,,,,
35,SHAKE,카라멜 프라푸치노,5900,x,2,o,o,o,o,o,o,o,0,,,,
36,SHAKE,에스프레소 프라푸치노,5500,x,2,o,o,o,o,o,o,o,0,,,,
37,SHAKE,바닐라 크림 프라푸치노,5100,x,2,o,o,o,o,o,o,o,0,,,,
38,BAKERY,블루베리 머핀,3800,x,0 (food),x,x,x,x,x,x,x,0,사라짐,,,
39,BAKERY,블루베리 베이글,3000,x,0,x,x,x,x,x,x,x,0,,,,
40,BAKERY,치즈 베이글,3000,x,0,x,x,x,x,x,x,x,0,,,,
41,BAKERY,크림치즈 베이글,5300,x,0,x,x,x,x,x,x,x,0,,,,
42,BAKERY,클래식 스콘,3300,x,0,x,x,x,x,x,x,x,0,,,,
43,BAKERY,리프 파이,3900,x,0,x,x,x,x,x,x,x,0,,,,
44,BAKERY,소시지 브레드,4500,x,0,x,x,x,x,x,x,x,0,,,,
45,BAKERY,연유 밀크 모닝,4300,x,0,x,x,x,x,x,x,x,0,,,,
46,BAKERY,우유 브리오쉬,4700,x,0,x,x,x,x,x,x,x,0,,,,
47,BAKERY,하트 파이,3200,x,0,x,x,x,x,x,x,x,0,,,,
48,BAKERY,가나슈 케이크,5700,x,0,x,x,x,x,x,x,x,0,,,,
49,BAKERY,초콜릿 생크림 케이크,5900,x,0,x,x,x,x,x,x,x,0,,,,
50,BAKERY,레드벨벳 크림치즈 케이크,5500,x,0,x,x,x,x,x,x,x,0,,,,
51,BAKERY,티라미수 케이크,5900,x,0,x,x,x,x,x,x,x,0,,,,
52,BAKERY,치즈 케이크,5500,x,0,x,x,x,x,x,x,x,0,,,,
53,BAKERY,고구마 생크림 케이크,5900,x,0,x,x,x,x,x,x,x,0,,,,
54,BAKERY,생크림 카스텔라,4500,x,0,x,x,x,x,x,x,x,0,,,,
55,BAKERY,티라미수 롤,5900,x,0,x,x,x,x,x,x,x,0,,,,
56,BAKERY,슈크림 바움쿠헨,6900,x,0,x,x,x,x,x,x,x,0,,,,
57,BAKERY,호두 당근 케이크,6500,x,0,x,x,x,x,x,x,x,0,,,,
58,BAKERY,단호박 에그 샌드위치,4900,x,0,x,x,x,x,x,x,x,0,,,,
59,BAKERY,리코타 치즈 바게트 샌드위치,6200,x,0,x,x,x,x,x,x,x,0,,,,
60,BAKERY,바비큐 치킨 치즈 치아바타,5800,x,0,x,x,x,x,x,x,x,0,,,,
61,BAKERY,베이컨 치즈 토스트,4900,x,0,x,x,x,x,x,x,x,0,,,,
62,BAKERY,에그 샌드위치,4400,x,0,x,x,x,x,x,x,x,0,,,,
63,COFFEE,카페 아메리카노,4500,x,3,x,o,o,x,o,x,o,0,,,,
64, COFFEE,카라멜 마키아또,5900,x,3,x,o,o,o,o,x,o,0,,,,
65,COFFEE,카푸치노,5000,x,3,o,o,o,o,o,x,o,0,,,,
66,LATTE,스타벅스 돌체 라떼,5900,x,3,x,o,o,o,o,x,o,0,,,,
67,LATTE,카페 라떼,5000,x,3,x,o,o,o,o,x,o,0,,,,
68,COFFEE,카페 모카,5500,x,3,o,o,o,o,o,x,o,0,,,,
69,COFFEE,화이트 초콜릿 모카,5900,x,3,o,o,o,o,o,x,o,0,,,,
70,COFFEE,바닐라 플랫 화이트,5900,x,1 (hot),o,o,o,o,o,x,o,0,,,,
71,COFFEE,바닐라 스타벅스 더블 샷,5100,x,2,o,o,o,o,o,x,o,0,,,,
72,COFFEE,에스프레소,4000,x,1,o,x,o,x,x,x,o,0,,,,
73,COFFEE,헤이즐넛 스타벅스 더블 샷,5100,x,2,o,o,o,o,o,x,o,0,,,,
74,SHAKE,화이트 타이거 프라푸치노,6500,x,2,o,o,o,x,o,o,o,0,,,,
75,SMOOTHIE,트위스트 피치 요거트 블렌디드,6800,x,2,o,o,o,x,o,o,o,0,,,,
76,LATTE,차이 티 라떼,5500,x,3,o,o,o,x,o,x,o,0,,,,
